"MGS"	"meanTE.IBDHC"	"stdevTE.IBDHC"	"IBDHC"	"meanTE.CDHC"	"stdevTE.CDHC"	"CDHC"	"meanTE.UCHC"	"stdevTE.UCHC"	"UCHC"	"meanTE.CDUC"	"stdevTE.CDUC"	"CDUC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;?;MGS.1545"	1.38149918611919	0.0229810498370409	"robust"	1.71105144192307	0.0311939833569077	"robust"	1.14935682407079	0.035586804174797	"robust"	-0.087801043635731	0.0840737865749692	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ventrimonas;Ventrimonas sp003478505;MGS.1451"	-4.03434323514729e-15	2.44815430891332e-15	"non-sig"	1.58307101901676	0.384587043815118	"variable"	2.39915449355635e-11	1.07172399441241e-10	"non-sig"	9.47021182096372e-07	2.49487814942626e-06	"non-sig"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A;Alistipes_A ihumii;MGS.221"	1.07050253787466	0.049929858585204	"robust"	0.965894517709331	0.051325122727987	"robust"	1.14485525328767	0.0772500641036132	"robust"	0.186678655771303	0.0213998529807531	"non-sig"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes avistercoris;MGS.424"	4.57473470183142e-16	6.3700627248115e-16	"non-sig"	0.356932694990362	0.15636749067515	"variable"	0.354009343223748	0.15430452005386	"variable"	0.084404869478176	0.0723257053468968	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A caecimuris;MGS.816"	-0.991183318355895	0.035351667023114	"variable"	-1.47331113503059	0.0599768658248285	"robust"	-0.814486242774506	0.0509400726939907	"non-sig"	-1.13763912439356	0.0922074983123712	"variable"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A obeum;MGS.941"	2.46583847998124	0.0711436188221627	"robust"	3.25018574451663	0.137167178036341	"robust"	1.66720408940571	0.0889436771676242	"non-sig"	2.16341955082269	0.155271023310287	"robust"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp900544615;MGS.1357"	2.68625899362129	0.0678595545007633	"robust"	2.79812956469745	0.0612119228021073	"robust"	3.00427623286706	0.111133997678548	"robust"	0.280139054568697	0.0376387810982647	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_G;MGS.1424"	2.39516987382523	0.0985975745257539	"robust"	3.28249826188233	0.140531995141036	"robust"	1.12988102052853	0.0850427659371081	"non-sig"	1.69454045873149	0.137365552390148	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp003150355;MGS.560"	-1.02050920986365e-15	3.29621240321914e-29	"non-sig"	3.5373840776199e-16	1.73851083199851e-15	"non-sig"	-3.67783668137878e-15	9.69957314136324e-16	"non-sig"	-7.05724161964248e-16	2.29834783301914e-15	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp900066645;MGS.1230"	8.53644033623517e-15	8.04559258274061e-15	"non-sig"	5.27185487703352e-06	8.41073507687922e-06	"non-sig"	4.353761713712e-15	1.11185679384929e-14	"non-sig"	6.64166192238581e-06	7.24469800986456e-06	"non-sig"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis;MGS.98"	2.93844552705405	0.0469268932510799	"robust"	2.89140514302013	0.0749092381574451	"robust"	3.01370177899933	0.0590996855740087	"robust"	1.0462624632438	0.119201431346024	"variable"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_I;MGS.1505"	1.88246389146111	0.0553950939709526	"robust"	2.60400175189587	0.0686510877167575	"robust"	1.39042078344266	0.0473550425192119	"robust"	1.52332564272749	0.093031669160935	"robust"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp000431575;MGS.336"	2.2891643251698	0.0994177732478007	"robust"	2.42563528280646	0.0803788255415956	"robust"	1.97044924680481	0.132618380945256	"robust"	0.726075147436936	0.126193194249722	"variable"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000431015;MGS.814"	-4.25151034137141e-15	1.42708220907558e-29	"non-sig"	-4.56703198459897e-15	8.98953002709658e-16	"non-sig"	-2.77740542656806e-15	6.19313558298492e-16	"non-sig"	-1.28290379780655e-15	1.87757480954278e-15	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A longicatena;MGS.504"	2.9461358192447	0.0753639610885998	"robust"	3.3105056997775	0.128367147029649	"robust"	2.77349247047833	0.135036192642354	"robust"	0.977434279380305	0.0905449533836563	"variable"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter sp003529475;MGS.55"	2.65932818548107	0.0815471749377282	"robust"	3.02518992826765	0.112901113264282	"robust"	2.96607974242763	0.125254370736467	"robust"	-0.115444223030227	0.0902761757270613	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster aldenensis;MGS.1257"	-1.7977089848436	0.0443590674424861	"robust"	-2.57934018270169	0.0736409962982782	"robust"	-0.0259570539263438	0.116083474149836	"non-sig"	-0.73887413441866	0.108042691908005	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Pseudoruminococcus_A;Pseudoruminococcus_A massiliensis;MGS.46"	0.883906912569544	0.0491448118098714	"variable"	1.06732973993716	0.0664907988566144	"robust"	0.939228343631019	0.0829748911703838	"non-sig"	-0.105608057723897	0.0486531743760853	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp003516765;MGS.863"	2.11999535511635	0.0454883493194223	"robust"	2.26527252921149	0.0671718891470086	"robust"	2.63078752038314	0.0754581377599484	"robust"	6.67809295089617e-06	5.66095631012976e-06	"non-sig"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp900543625;MGS.865"	4.03705325457188	0.0573872340892724	"robust"	4.4428237348727	0.0912721187435431	"robust"	3.58880192647506	0.11958382300629	"robust"	0.751862635272733	0.108544665845629	"variable"
