"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;?;MGS.1545"	1.71105144192307	0.0311939833569077	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ventrimonas;Ventrimonas sp003478505;MGS.1451"	1.58307101901676	0.384587043815118	"variable"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A;Alistipes_A ihumii;MGS.221"	0.965894517709331	0.051325122727987	"robust"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes avistercoris;MGS.424"	0.356932694990362	0.15636749067515	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A caecimuris;MGS.816"	-1.47331113503059	0.0599768658248285	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A obeum;MGS.941"	3.25018574451663	0.137167178036341	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp900544615;MGS.1357"	2.79812956469745	0.0612119228021073	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_G;MGS.1424"	3.28249826188233	0.140531995141036	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp003150355;MGS.560"	3.5373840776199e-16	1.73851083199851e-15	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp900066645;MGS.1230"	5.27185487703352e-06	8.41073507687922e-06	"non-sig"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis;MGS.98"	2.89140514302013	0.0749092381574451	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_I;MGS.1505"	2.60400175189587	0.0686510877167575	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp000431575;MGS.336"	2.42563528280646	0.0803788255415956	"robust"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000431015;MGS.814"	-4.56703198459897e-15	8.98953002709658e-16	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A longicatena;MGS.504"	3.3105056997775	0.128367147029649	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter sp003529475;MGS.55"	3.02518992826765	0.112901113264282	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster aldenensis;MGS.1257"	-2.57934018270169	0.0736409962982782	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Pseudoruminococcus_A;Pseudoruminococcus_A massiliensis;MGS.46"	1.06732973993716	0.0664907988566144	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp003516765;MGS.863"	2.26527252921149	0.0671718891470086	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp900543625;MGS.865"	4.4428237348727	0.0912721187435431	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum butyriciproducens;MGS.461"	2.63703056137456	0.105547074966397	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp900547315;MGS.647"	7.77243789146215e-16	3.86467663733161e-17	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_C;MGS.983"	5.52977673087579	0.0762605422961863	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas;Copromonas sp000435795;MGS.379"	0.423317243979206	0.0680589892463564	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A faecis;MGS.1346"	1.80236063087659	0.118873139549055	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira rogosae_A;MGS.161"	3.12020282462057	0.137418770718449	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimivicinus;Fimivicinus sp900544375;MGS.282"	-0.19220221388563	0.0712238413616417	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;UBA738;UBA738 sp003522945;MGS.1434"	1.8015621066837	0.0695098476213617	"robust"	"CD-HC"
"Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis;MGS.945"	2.9400527915709	0.103741784823419	"robust"	"CD-HC"
