"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;?;MGS.1545"	-0.087801043635731	0.0840737865749692	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ventrimonas;Ventrimonas sp003478505;MGS.1451"	9.47021182096372e-07	2.49487814942626e-06	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A;Alistipes_A ihumii;MGS.221"	0.186678655771303	0.0213998529807531	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes avistercoris;MGS.424"	0.084404869478176	0.0723257053468968	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A caecimuris;MGS.816"	-1.13763912439356	0.0922074983123712	"variable"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A obeum;MGS.941"	2.16341955082269	0.155271023310287	"robust"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp900544615;MGS.1357"	0.280139054568697	0.0376387810982647	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_G;MGS.1424"	1.69454045873149	0.137365552390148	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp003150355;MGS.560"	-7.05724161964248e-16	2.29834783301914e-15	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp900066645;MGS.1230"	6.64166192238581e-06	7.24469800986456e-06	"non-sig"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis;MGS.98"	1.0462624632438	0.119201431346024	"variable"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_I;MGS.1505"	1.52332564272749	0.093031669160935	"robust"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp000431575;MGS.336"	0.726075147436936	0.126193194249722	"variable"	"CD-UC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000431015;MGS.814"	-1.28290379780655e-15	1.87757480954278e-15	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A longicatena;MGS.504"	0.977434279380305	0.0905449533836563	"variable"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter sp003529475;MGS.55"	-0.115444223030227	0.0902761757270613	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster aldenensis;MGS.1257"	-0.73887413441866	0.108042691908005	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Pseudoruminococcus_A;Pseudoruminococcus_A massiliensis;MGS.46"	-0.105608057723897	0.0486531743760853	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp003516765;MGS.863"	6.67809295089617e-06	5.66095631012976e-06	"non-sig"	"CD-UC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp900543625;MGS.865"	0.751862635272733	0.108544665845629	"variable"	"CD-UC"
