,model_fit
BD00001,0.8171983435575125
BD00004,0.8653992058657668
BD00006,0.6081364800920298
BD00010,0.5177006942271558
BD00014,0.4318855612631997
BD00016,0.2579670581876844
BD00017,0.8804028304438557
BD00018,0.7945152115269953
BD00025,0.8941352093741779
BD00027,0.6366279370733265
BD00028,0.47231348974348253
BD00030,0.5468113505758476
BD00031,0.5805848303451593
BD00032,0.4946155727482831
BD00033,0.5072225699130215
BD00035,0.21513828168830476
BD00036,0.40733685417198134
BD00037,0.4091021891616422
BD00039,0.12827122878212696
BD00040,0.778876514936582
BD00041,0.3353136130858281
BD00042,0.991639206216098
BD00043,0.79830902099292
BD00046,0.9006982144724102
BD00048,0.7394145069656939
BD00049,0.5335538506446577
BD00050,0.3990830848451016
BD00053,0.8776276453351733
BD00054,0.5465768649351846
BD00058,0.6818580357781944
BD00059,0.45763578179233955
BD00060,0.7090798656971461
BD00063,0.6764492485896282
BD00064,0.6037864776033768
BD00066,0.8155121158136883
BD00067,0.9203884478581006
BD00068,0.5463729434353155
BD00069,0.4503432719387552
BD00072,0.576698350231006
BD00074,0.5652510353884137
BD00077,0.2437562368061083
BD00078,0.8113990911853596
BD00082,0.5626796826557801
BD00084,0.6157377011426346
BD00086,0.5148419465608934
BD00087,0.6123330770844996
BD00088,0.661341379850204
BD00095,0.7666780956464286
BD00097,0.42461861152643404
BD00099,0.48587867277778346
BD00100,0.8047630344975752
BD00105,0.5645034366299134
BD00106,0.36440164546509846
BD00107,0.7022452380153774
BD00108,0.7473763275062284
BD00109,0.8349246712233565
BD00111,0.2567465899868835
BD00112,0.5162319774564598
BD00114,0.29093225005880047
BD00119,0.3197715180802207
BD00121,0.7942968467422812
BD00122,0.7133633053456063
BD00123,0.6737539454356943
BD00125,0.5324635629677132
BD00126,0.5836850946334943
BD00128,0.7087632895165088
BD00132,0.8240822939200783
BD00134,0.7345972911630326
BD00135,0.7676211507351335
BD00137,0.5952048044109896
BD00141,0.679160578401809
BD00145,0.1470073778312811
BD00146,0.4835602983713597
BD00147,0.5377669939520558
BD00149,0.8927786801361047
BD00150,0.23497046787383888
BD00154,0.7290580337998123
BD00155,0.26070249261882245
BD00156,0.17418126976000342
BD00157,0.9212218439922795
BD00161,0.6603667188423593
BD00167,0.7774209526836078
BD00171,0.6549578126768849
BD00172,0.8284565941440238
BD00173,0.7213183216334412
BD00174,0.7051750795737067
BD00177,0.5628432692032963
BD00184,0.8701718292930766
BD00185,0.5382330519605849
BD00187,0.038070490451350615
BD00188,0.7411217572624015
BD00192,0.24609475914865464
BD00193,0.49313676693279157
BD00194,0.7414044019466068
BD00195,0.6580860374166051
BD00196,0.7855226843797642
BD00197,0.5832053382227296
BD00198,0.563223111369851
BD00200,0.11929565956411609
BD00202,0.5333386422831634
BD00204,0.7851549944457733
BD00205,0.1436338627662855
BD00206,0.7793189290996487
BD00208,0.24364787753183195
BD00215,0.13366856654962078
BD00216,0.8354109763467699
BD00219,0.541291987897896
BD00224,0.12547315939661002
BD00225,0.2661637189474466
BD00228,0.6228794253260377
BD00229,0.75088731612893
BD00230,0.6427445444667814
BD00232,0.7740403093030089
BD00234,0.5227259928451818
BD00235,0.7687883571596777
BD00236,0.7312311579171829
BD00237,0.887903799727832
BD00239,0.7334741733738739
BD00248,0.47613847167959844
BD00249,0.5918960687273759
BD00250,0.482773571172952
BD00252,0.7226589384523956
BD00253,0.8029176110071882
BD00255,0.30195630535255497
BD00256,0.5975918388037805
BD00264,0.6577416048801903
BD00265,0.4641548183413403
BD00266,0.8086917613002041
BD00269,0.5972103734150703
BD00273,0.2989946447370557
BD00275,0.4417731851914366
BD00277,0.501571152495788
BD00278,0.40458199652696175
BD00281,0.17324261410919847
BD00286,0.7935158960004273
BD00287,0.6237426523871207
BD00293,0.8949298594527294
BD00296,0.600197511878804
BD00301,0.4629856751216192
BD00304,0.7766304893304786
BD00308,0.7525343628883346
BD00309,0.5994062200898804
BD00310,0.774143624032198
BD00311,0.7848660773138714
BD00313,0.7239061419014109
BD00322,0.4560015573950422
BD00326,0.8132948317639017
BD00327,0.743260279888223
BD00328,0.6325567841929531
BD00329,0.5296572586050979
BD00331,0.13570575079468017
BD00332,0.6852394826321486
BD00334,0.725828577014524
BD00339,0.6753834690563327
