Cohort_precise	SmplID	IDX	externalID	days_after_first_visit	IBD	IBD2	country	age_category	age	antibiotic	immunosuppressant	steroids	reads_raw	sex	collection_date	height	weight	Montreal_B	smoking	bmi	fecal_calprotectin	Cohort_setup	IndividualID	Cohort
cohort1000IBD_NHL	1104	0	0	1104	1104	1104	1104	0	0	0	0	0	0	0	0	348	348	221	345	348	0	1104	1104	1104
Fang_UCSD_IBD_Biobank	325	0	325	325	325	325	0	325	0	325	0	325	0	325	325	0	0	0	0	0	0	325	325	325
FedericiFrance	111	0	0	111	111	111	111	111	111	111	0	0	111	111	0	0	0	42	111	0	0	111	111	111
FedericiGermany	191	0	0	191	191	191	191	191	191	191	0	0	191	191	0	0	0	0	191	0	0	191	191	191
FedericiIsrael	45	0	0	45	45	45	45	36	36	45	0	0	45	41	0	0	0	18	34	0	0	45	45	45
FedericiUS	119	0	0	119	119	119	119	118	118	119	0	0	119	118	0	0	0	0	113	0	0	119	119	119
He	102	0	102	102	102	102	102	101	101	0	0	0	0	101	102	101	101	0	0	101	0	102	102	102
HMP	300	0	0	300	300	300	300	0	0	278	278	0	278	278	0	0	0	0	0	0	182	300	300	300
HMP2	1333	0	1333	1333	1333	1333	1333	1333	1333	1333	1333	0	1333	1333	1333	195	195	149	249	195	332	1333	1333	1333
IFIBD	220	0	0	220	220	220	220	220	220	217	198	196	0	0	0	0	0	0	0	0	153	220	220	220
Lewis	368	0	0	368	368	368	0	368	0	367	0	342	0	0	0	0	0	0	0	0	337	368	368	368
LIBD	262	262	0	262	262	262	262	170	0	0	0	0	0	0	0	0	0	0	0	0	169	262	262	262
Tian	130	0	0	130	130	130	0	130	130	0	0	0	0	130	0	0	0	0	0	0	0	130	130	130
USA	173	0	0	173	173	173	173	173	173	0	173	173	0	173	0	0	0	0	173	0	0	173	173	173
Zuo	56	0	0	56	56	56	56	56	56	56	0	56	56	56	0	0	0	0	0	0	0	56	56	56
