"","MGS","pvalue","cohort","padjust","meanTE","stdevTE","robustDA","comparison","enrichedIn","stdevTE.IBDHC","IBDHC","stdevTE.CDHC","CDHC","stdevTE.UCHC","UCHC","stdevTE.CDUC","CDUC","sigcorr","rho2","measure","effect","sample"
"1","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;?;MGS.1475",0.0339771539634831,"Tian",0.0971371395520436,"-2.22176195284027e-10","4.04238084695927e-10","non-sig","IBD-HC",NA,"4.04238084695927e-10","non-sig","4.89918192122267e-15","non-sig","1.31103180302346e-06","non-sig","2.65057207595171e-10","non-sig","significant",0.186135685085872,"rho","0.186135685085872","cross"
"2","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;?;MGS.1475",0.0339771539634831,"Tian",0.0971371395520436,"-2.22176195284027e-10","4.04238084695927e-10","non-sig","IBD-HC",NA,"4.04238084695927e-10","non-sig","4.89918192122267e-15","non-sig","1.31103180302346e-06","non-sig","2.65057207595171e-10","non-sig","significant",0.186135685085872,"meanTE.IBDHC","-2.22176195284027e-10","cross"
"3","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;?;MGS.1475",0.0339771539634831,"Tian",0.0971371395520436,"-2.22176195284027e-10","4.04238084695927e-10","non-sig","IBD-HC",NA,"4.04238084695927e-10","non-sig","4.89918192122267e-15","non-sig","1.31103180302346e-06","non-sig","2.65057207595171e-10","non-sig","significant",0.186135685085872,"meanTE.CDHC","3.48749380452191e-15","cross"
"4","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;?;MGS.1475",0.0339771539634831,"Tian",0.0971371395520436,"-2.22176195284027e-10","4.04238084695927e-10","non-sig","IBD-HC",NA,"4.04238084695927e-10","non-sig","4.89918192122267e-15","non-sig","1.31103180302346e-06","non-sig","2.65057207595171e-10","non-sig","significant",0.186135685085872,"meanTE.UCHC","-5.34957735885596e-07","cross"
"5","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;?;MGS.1475",0.0339771539634831,"Tian",0.0971371395520436,"-2.22176195284027e-10","4.04238084695927e-10","non-sig","IBD-HC",NA,"4.04238084695927e-10","non-sig","4.89918192122267e-15","non-sig","1.31103180302346e-06","non-sig","2.65057207595171e-10","non-sig","significant",0.186135685085872,"meanTE.CDUC","-1.10292055171151e-10","cross"
"6","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.000793125097320024,"FedericiFrance",0.0614671950423019,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",-0.313923219361954,"rho","-0.313923219361954","cross"
"7","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.000793125097320024,"FedericiFrance",0.0614671950423019,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",-0.313923219361954,"meanTE.IBDHC","4.63004959410753e-16","cross"
"8","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.000793125097320024,"FedericiFrance",0.0614671950423019,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",-0.313923219361954,"meanTE.CDHC","3.4094692831025e-15","cross"
"9","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.000793125097320024,"FedericiFrance",0.0614671950423019,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",-0.313923219361954,"meanTE.UCHC","-3.04221962185528e-15","cross"
"10","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.000793125097320024,"FedericiFrance",0.0614671950423019,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",-0.313923219361954,"meanTE.CDUC","1.05474033122343e-15","cross"
"11","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.0229440575201095,"Tian",0.0703715960511304,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",0.19939331747371,"rho","0.19939331747371","cross"
"12","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.0229440575201095,"Tian",0.0703715960511304,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",0.19939331747371,"meanTE.IBDHC","4.63004959410753e-16","cross"
"13","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.0229440575201095,"Tian",0.0703715960511304,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",0.19939331747371,"meanTE.CDHC","3.4094692831025e-15","cross"
"14","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.0229440575201095,"Tian",0.0703715960511304,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",0.19939331747371,"meanTE.UCHC","-3.04221962185528e-15","cross"
"15","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia bouchesdurhonensis;MGS.1400",0.0229440575201095,"Tian",0.0703715960511304,"4.63004959410753e-16","6.72516036549652e-16","non-sig","IBD-HC",NA,"6.72516036549652e-16","non-sig","2.19755966677445e-15","non-sig","1.53463643025043e-15","non-sig","2.25564670146337e-15","non-sig","significant",0.19939331747371,"meanTE.CDUC","1.05474033122343e-15","cross"
"16","Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia;Pauljensenia sp000185285;MGS.858",0.00693207340685127,"Tian",0.0296362037393825,"-7.2897907413293e-05","4.5335767379121e-05","non-sig","IBD-HC",NA,"4.5335767379121e-05","non-sig","6.86968422427521e-06","non-sig","1.45091727156275e-08","non-sig","0.00965110023467665","non-sig","significant",0.23574304277499,"rho","0.23574304277499","cross"
