SMPLID,DIR,RawInputSize,InputIsPaired,InputIsSingle,FilteredContaRdsPerc,Kraken_human,FilteredContaRds,FilteredNonContaRds,FilteredContaRdsPerc_EBI,FilteredContaRds_EBI,FilteredNonContaRds_EBI,totRds,Rejected1,Rejected2,Accepted1,Accepted2,Singl1,Singl2,AvgSeqLen,MaxSeqLength,AvgSeqQual,accErr,Merged,NotMerged,AvgGenomeSizeEst,TotalGenomesEst,ContigN50,NScaff400,NScaffG1k,NScaffG10k,NScaffG100k,NScaffG1M,ScaffN50,ScaffMaxSize,ScaffSize,CircCtgs,CircCtgG1M,ReadsPaired,AlignedReads,OverallAlignment,UniqueAlgned,MultAlign,DisconcAlign,SingleUniqAlign,SingleMultiAlign,OpticalDuplicates,PCRduplicates,PassedMD,EstLibSize,GeneNumber,AvgGeneLength,AvgComplGeneLength,BpGenes,BpNotGenes,Gcomplete,G5pComplete,G3pComplete,Gincomplete,HQ_bins_SB,MQ_bins_SB,HQ_bins_MB2,MQ_bins_MB2,HQ_bins_MD,MQ_bins_MD,HQ_bins_GF,MQ_bins_GF,SNP_TotalResolvedBp,SNP_fastaEntries,SNP_Num,SNP_Passed,SNP_resolved,INDEL_Num,INDEL_Passed
BD00001,1000IBD00001,-1,0,0,0.02;0.00,0.000225164,2783,12357104,1.13681E-05,288,25333750,25314416,646885,803993,12010323,11853215,0,0,99.6,101,35.7,0,,,,,2731,64958,19845,1227,16,0,2731,189641,97534685,0,0,,,,,,,,,96536,2283745,19122628,50125575,132331,653,856,86457488,10948174,54303,28828,28890,20310,8,3,,,,,,,0,0,0,0,0,0,0
BD00004,1000IBD00004,-1,0,0,11.91;6.76,0.11507542,1253478,9639187,0.047903028,1077300,21411884,22469904,584475,958481,10650477,10276471,0,0,99.6,101,35.9,0,,,,,1804,74081,22630,771,15,0,1804,233495,96751976,0,0,,,,,,,,,17923,1575232,16524023,55263542,137749,626,829,86326916,10284850,46912,33476,33098,24263,3,3,,,,,,,0,0,0,0,0,0,0
BD00006,1000IBD00006,-1,0,0,4.42;3.24,0.04355335,433982,9530395,0.018715153,380850,19968970,20335524,353896,596783,9813866,9570979,0,0,100,101,36.3,0,,,,,2461,54463,19595,887,9,0,2461,236758,83349363,0,0,,,,,,,,,84530,1732500,16262124,47538426,108172,691,871,74754899,8463928,44099,23617,23548,16908,2,3,,,,,,,0,0,0,0,0,0,0
BD00010,1000IBD00010,-1,0,0,0.08;0.03,0.000786496,7422,9429374,0.000157155,3036,19315480,19303238,333662,722069,9317957,8929550,0,0,99.9,101,36.3,0,,,,,4630,33225,10066,820,9,0,4630,188328,58019159,0,0,,,,,,,,,75925,1740725,14979853,41271161,75457,675,866,50940929,6985015,36037,14821,14791,9808,5,3,,,,,,,0,0,0,0,0,0,0
BD00014,1000IBD00014,-1,0,0,0.03;0.01,0.000314755,4638,14730653,2.34002E-05,718,30682814,30662650,948526,1610501,14382799,13720824,0,0,99.6,101,36,0,,,,,2730,40511,14268,554,35,0,2730,360880,66581355,0,0,,,,,,,,,17668,2950986,26410845,70119606,90412,652,841,59027306,7477772,38719,20301,19968,11424,6,1,,,,,,,0,0,0,0,0,0,0
BD00016,1000IBD00016,-1,0,0,0.06;0.03,0.000629744,6642,10540509,0.000106262,2290,21548314,21536596,377618,656915,10390680,10111383,0,0,99.9,101,36.3,0,,,,,3852,38853,14102,1024,18,0,3852,237851,69263926,0,0,,,,,,,,,93201,2101878,17379207,44973505,89713,687,849,61661231,7495855,43704,17768,17484,10757,5,6,,,,,,,0,0,0,0,0,0,0
BD00017,1000IBD00017,-1,0,0,0.03;0.00,0.000254325,4818,18939465,1.85316E-05,734,39607202,39575670,1227278,2422645,18560557,17365190,0,0,99.5,101,35.8,0,,,,,6089,43179,14528,1182,53,0,6089,685215,86819638,0,0,,,,,,,,,15510,4488663,32524751,71934314,107199,718,892,76988640,9713695,55359,19268,19212,13360,8,5,,,,,,,0,0,0,0,0,0,0
BD00018,1000IBD00018,-1,0,0,2.47;1.72,0.023889036,172591,7052104,0.008114585,122116,14926836,15035370,565722,803186,6951963,6714499,0,0,99.6,101,35.9,0,,,,,1577,57972,14490,563,0,0,1577,85085,67768362,0,0,,,,,,,,,8031,725296,10127990,49725036,102422,587,786,60197542,7444672,33089,24764,24521,20048,3,2,,,,,,,0,0,0,0,0,0,0
BD00025,1000IBD00025,-1,0,0,0.03;0.01,0.00024103,2071,8590208,1.76067E-05,310,17606574,17590892,451774,550303,8343672,8245143,0,0,99.5,101,35.7,0,,,,,2614,48984,14762,827,15,0,2614,372718,72291722,0,0,,,,,,,,,56787,1403447,13448963,40008642,97954,655,845,64168622,7999758,39733,21208,21251,15762,6,2,,,,,,,0,0,0,0,0,0,0
BD00027,1000IBD00027,-1,0,0,0.04;0.01,0.000346353,3619,10445248,2.55012E-05,544,21331794,21314474,377930,628360,10279307,10028877,0,0,99.9,101,36.2,0,,,,,1931,64837,16718,899,3,0,1931,140132,82836667,0,0,,,,,,,,,54858,1787148,15511849,42258405,118959,619,823,73697781,9002129,42953,26929,26826,22251,4,4,,,,,,,0,0,0,0,0,0,0
BD00028,1000IBD00028,-1,0,0,0.05;0.04,0.000531129,3241,6098856,9.04259E-05,1126,12451052,12445398,253165,353416,5969534,5869283,0,0,100,101,36.8,0,,,,,3800,27323,11086,739,6,0,3800,183484,51484269,0,0,,,,,,,,,6949,798072,10108697,37555149,64244,716,882,46011130,5386433,31243,12997,12987,7017,2,3,,,,,,,0,0,0,0,0,0,0
BD00030,1000IBD00030,-1,0,0,0.14;0.08,0.001377571,8078,5855866,0.000247011,2994,12117924,12107010,316139,487574,5737366,5565931,0,0,99.7,101,36.2,0,,,,,1664,31672,7174,232,10,0,1664,191932,37150711,0,0,,,,,,,,,1957,869812,9151469,30294933,54732,596,840,32670234,4367994,17800,13359,13409,10164,1,0,,,,,,,0,0,0,0,0,0,0
BD00031,1000IBD00031,-1,0,0,0.06;0.02,0.000587148,7237,12318451,0.000157931,4004,25348856,25336500,564702,1055374,12103548,11612876,0,0,99.7,101,35.9,0,,,,,3589,62304,20746,1451,14,0,3589,232462,105323775,0,0,,,,,,,,,129687,2138632,19914137,58069269,137059,685,873,93971279,11215843,61401,27879,27658,20121,11,3,,,,,,,0,0,0,0,0,0,0
BD00032,1000IBD00032,-1,0,0,0.04;0.01,0.000337181,4913,14565876,3.12136E-05,934,29921900,29898588,640571,1082204,14308723,13867090,0,0,99.8,101,36,0,,,,,4799,45700,19120,1509,9,0,4799,117902,94421949,0,0,,,,,,,,,21500,2621346,25475279,73203354,110956,760,913,84388433,9905626,60068,19503,19303,12082,5,4,,,,,,,0,0,0,0,0,0,0
BD00033,1000IBD00033,-1,0,0,0.03;0.02,0.000295005,2707,9173404,3.79969E-05,714,18790304,18781838,394436,680627,8996483,8710292,0,0,100,101,36.7,0,,,,,1880,72093,22230,608,9,0,1880,210413,92927932,0,0,,,,,,,,,10866,827926,14189232,72912503,132808,622,812,82693544,10049792,45876,31906,32007,23019,2,3,,,,,,,0,0,0,0,0,0,0
BD00035,1000IBD00035,-1,0,0,0.09;0.04,0.000830553,7893,9495412,0.000119332,2312,19372282,19361194,326170,508532,9354427,9172065,0,0,99.9,101,36.3,0,,,,,3087,35387,8803,636,26,0,3087,246573,52379765,0,0,,,,,,,,,61648,1738251,15655487,43807894,72502,645,853,46793474,5506778,31168,14984,14862,11488,4,3,,,,,,,0,0,0,0,0,0,0
BD00036,1000IBD00036,-1,0,0,0.04;0.01,0.000374117,4014,10725257,3.24316E-05,714,22014868,21996418,488255,759021,10509954,10239188,0,0,99.7,101,36,0,,,,,1949,69427,21967,692,25,0,1949,267340,93848725,0,0,,,,,,,,,14367,1449195,17753080,64593007,130284,643,827,83863899,9807044,47685,30562,30405,21632,4,3,,,,,,,0,0,0,0,0,0,0
BD00037,1000IBD00037,-1,0,0,25.08;16.06,0.243650136,1315643,4084079,0.089959898,999292,10108902,11098026,289256,435554,5259757,5113459,0,0,99.8,101,36.5,0,,,,,962,40646,8321,121,0,0,962,52060,36627916,0,0,,,,,,,,,2180,697197,5721188,17542841,62503,516,682,32255306,4261886,13102,17683,17408,14310,0,1,,,,,,,0,0,0,0,0,0,0
