Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
HMPI5	HMPI2	HMPI9	HMPI1	HMPI2	HMPI7	HMPI7	HMPI3	HMPI2	HMPI3	HMPI9	HMPI3	HMPI5	HMPI2	HMPI3	HMPI8	HMPI2	HMPI8	HMPI6	HMPI4	C3001	HMP
HMPI11	HMPI13	HMPI13	HMPI12	HMPI11	HMPI11	HMPI15	HMPI13	HMPI12	HMPI12	HMPI13	HMPI16	HMPI14	HMPI13	HMPI14	HMPI10	HMPI16	HMPI15	HMPI14	HMPI14	C3002	HMP
HMPI20	HMPI18	HMPI20	HMPI20	HMPI18	HMPI20	HMPI18	HMPI18	HMPI17	HMPI18	HMPI19	HMPI18	HMPI20	HMPI18	HMPI17	HMPI20	HMPI19	HMPI19	HMPI20	HMPI18	C3003	HMP
HMPI25	HMPI24	HMPI22	HMPI21	HMPI24	HMPI25	HMPI23	HMPI23	HMPI24	HMPI22	HMPI25	HMPI24	HMPI24	HMPI22	HMPI22	HMPI25	HMPI25	HMPI23	HMPI24	HMPI24	C3004	HMP
HMPI29	HMPI26	HMPI27	HMPI26	HMPI27	HMPI26	HMPI28	HMPI26	HMPI29	HMPI28	HMPI27	HMPI26	HMPI28	HMPI29	HMPI27	HMPI26	HMPI26	HMPI29	HMPI29	HMPI29	C3005	HMP
HMPI31	HMPI32	HMPI32	HMPI30	HMPI32	HMPI30	HMPI30	HMPI30	HMPI32	HMPI31	HMPI32	HMPI31	HMPI31	HMPI31	HMPI31	HMPI30	HMPI30	HMPI32	HMPI32	HMPI32	C3006	HMP
HMPI35	HMPI34	HMPI35	HMPI34	HMPI34	HMPI33	HMPI33	HMPI33	HMPI34	HMPI34	HMPI34	HMPI35	HMPI33	HMPI35	HMPI33	HMPI35	HMPI33	HMPI33	HMPI33	HMPI33	C3007	HMP
HMPI38	HMPI37	HMPI38	HMPI36	HMPI37	HMPI38	HMPI38	HMPI38	HMPI37	HMPI36	HMPI38	HMPI36	HMPI37	HMPI38	HMPI38	HMPI36	HMPI36	HMPI37	HMPI37	HMPI37	C3008	HMP
HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	HMPI39	C3009	HMP
HMPI42	HMPI42	HMPI40	HMPI42	HMPI42	HMPI40	HMPI41	HMPI41	HMPI42	HMPI42	HMPI41	HMPI40	HMPI42	HMPI41	HMPI41	HMPI41	HMPI40	HMPI40	HMPI40	HMPI42	C3010	HMP
HMPI43	HMPI46	HMPI46	HMPI50	HMPI54	HMPI52	HMPI47	HMPI47	HMPI44	HMPI48	HMPI45	HMPI48	HMPI47	HMPI54	HMPI44	HMPI48	HMPI54	HMPI45	HMPI53	HMPI54	C3011	HMP
HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	HMPI55	C3012	HMP
HMPI57	HMPI59	HMPI56	HMPI64	HMPI66	HMPI56	HMPI67	HMPI63	HMPI56	HMPI59	HMPI66	HMPI57	HMPI62	HMPI60	HMPI56	HMPI59	HMPI57	HMPI63	HMPI65	HMPI62	C3013	HMP
HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	HMPI68	C3015	HMP
HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	HMPI69	C3016	HMP
HMPI78	HMPI80	HMPI70	HMPI82	HMPI70	HMPI71	HMPI70	HMPI71	HMPI79	HMPI77	HMPI75	HMPI78	HMPI76	HMPI70	HMPI79	HMPI72	HMPI83	HMPI74	HMPI74	HMPI83	C3017	HMP
HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	HMPI84	C3019	HMP
HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	HMPI85	C3020	HMP
HMPI87	HMPI86	HMPI87	HMPI86	HMPI86	HMPI86	HMPI87	HMPI87	HMPI87	HMPI86	HMPI87	HMPI87	HMPI87	HMPI87	HMPI86	HMPI86	HMPI87	HMPI86	HMPI86	HMPI86	C3022	HMP
HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	HMPI88	C3023	HMP
HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	HMPI89	C3024	HMP
HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	HMPI90	C3029	HMP
HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	HMPI91	C3030	HMP
HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	HMPI92	C3031	HMP
HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	HMPI93	C3032	HMP
HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	HMPI94	C3033	HMP
HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	HMPI95	C3034	HMP
HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	HMPI96	C3036	HMP
