Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
ERR4158066	ERR4158065	ERR4158066	ERR4158065	ERR4158066	ERR4158065	ERR4158065	ERR4158066	ERR4158066	ERR4158066	ERR4158065	ERR4158065	ERR4158066	ERR4158065	ERR4158065	ERR4158065	ERR4158065	ERR4158066	ERR4158065	ERR4158065	Fang100001	Fang_UCSD_IBD_Biobank
ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	ERR4158067	Fang100002	Fang_UCSD_IBD_Biobank
ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	ERR4158068	Fang100004	Fang_UCSD_IBD_Biobank
ERR4158069	ERR4158070	ERR4158070	ERR4158070	ERR4158070	ERR4158070	ERR4158070	ERR4158070	ERR4158070	ERR4158069	ERR4158070	ERR4158069	ERR4158070	ERR4158070	ERR4158070	ERR4158069	ERR4158070	ERR4158069	ERR4158069	ERR4158070	Fang100005	Fang_UCSD_IBD_Biobank
ERR4158072	ERR4158072	ERR4158071	ERR4158072	ERR4158071	ERR4158071	ERR4158072	ERR4158072	ERR4158071	ERR4158072	ERR4158071	ERR4158071	ERR4158071	ERR4158071	ERR4158071	ERR4158072	ERR4158072	ERR4158072	ERR4158071	ERR4158072	Fang100006	Fang_UCSD_IBD_Biobank
ERR4158073	ERR4158076	ERR4158074	ERR4158076	ERR4158074	ERR4158074	ERR4158073	ERR4158073	ERR4158075	ERR4158075	ERR4158074	ERR4158076	ERR4158076	ERR4158076	ERR4158076	ERR4158073	ERR4158074	ERR4158073	ERR4158074	ERR4158073	Fang100007	Fang_UCSD_IBD_Biobank
ERR4158079	ERR4158077	ERR4158079	ERR4158078	ERR4158077	ERR4158079	ERR4158078	ERR4158077	ERR4158077	ERR4158078	ERR4158079	ERR4158079	ERR4158077	ERR4158079	ERR4158077	ERR4158077	ERR4158077	ERR4158079	ERR4158078	ERR4158079	Fang100008	Fang_UCSD_IBD_Biobank
ERR4158083	ERR4158083	ERR4158081	ERR4158081	ERR4158081	ERR4158081	ERR4158080	ERR4158083	ERR4158080	ERR4158082	ERR4158082	ERR4158082	ERR4158083	ERR4158082	ERR4158083	ERR4158083	ERR4158081	ERR4158082	ERR4158081	ERR4158081	Fang100009	Fang_UCSD_IBD_Biobank
ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	ERR4158084	Fang100011	Fang_UCSD_IBD_Biobank
ERR4158086	ERR4158088	ERR4158088	ERR4158087	ERR4158088	ERR4158085	ERR4158086	ERR4158089	ERR4158087	ERR4158089	ERR4158088	ERR4158086	ERR4158087	ERR4158089	ERR4158089	ERR4158086	ERR4158086	ERR4158086	ERR4158089	ERR4158088	Fang100013	Fang_UCSD_IBD_Biobank
ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	ERR4158090	Fang100016	Fang_UCSD_IBD_Biobank
ERR4158091	ERR4158093	ERR4158093	ERR4158091	ERR4158092	ERR4158092	ERR4158093	ERR4158093	ERR4158092	ERR4158091	ERR4158093	ERR4158092	ERR4158092	ERR4158092	ERR4158091	ERR4158091	ERR4158091	ERR4158093	ERR4158091	ERR4158092	Fang100017	Fang_UCSD_IBD_Biobank
ERR4158064	ERR4158064	ERR4158094	ERR4158096	ERR4158094	ERR4158095	ERR4158094	ERR4158064	ERR4158096	ERR4158096	ERR4158094	ERR4158094	ERR4158096	ERR4158095	ERR4158095	ERR4158064	ERR4158096	ERR4158095	ERR4158096	ERR4158064	Fang100018	Fang_UCSD_IBD_Biobank
ERR4158098	ERR4158098	ERR4158098	ERR4158097	ERR4158098	ERR4158099	ERR4158099	ERR4158100	ERR4158097	ERR4158099	ERR4158097	ERR4158100	ERR4158098	ERR4158098	ERR4158099	ERR4158100	ERR4158098	ERR4158098	ERR4158098	ERR4158100	Fang100019	Fang_UCSD_IBD_Biobank
ERR4158103	ERR4158101	ERR4158101	ERR4158103	ERR4158101	ERR4158101	ERR4158103	ERR4158101	ERR4158101	ERR4158103	ERR4158102	ERR4158103	ERR4158101	ERR4158101	ERR4158101	ERR4158101	ERR4158102	ERR4158101	ERR4158103	ERR4158103	Fang100021	Fang_UCSD_IBD_Biobank
ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	ERR4158104	Fang100022	Fang_UCSD_IBD_Biobank
ERR4158105	ERR4158105	ERR4158105	ERR4158106	ERR4158105	ERR4158106	ERR4158105	ERR4158106	ERR4158105	ERR4158106	ERR4158105	ERR4158105	ERR4158106	ERR4158106	ERR4158106	ERR4158106	ERR4158106	ERR4158106	ERR4158105	ERR4158105	Fang100023	Fang_UCSD_IBD_Biobank
ERR4158109	ERR4158108	ERR4158107	ERR4158109	ERR4158107	ERR4158107	ERR4158107	ERR4158108	ERR4158107	ERR4158108	ERR4158108	ERR4158108	ERR4158107	ERR4158109	ERR4158107	ERR4158108	ERR4158109	ERR4158108	ERR4158109	ERR4158107	Fang100024	Fang_UCSD_IBD_Biobank
ERR4158110	ERR4158111	ERR4158110	ERR4158110	ERR4158110	ERR4158110	ERR4158111	ERR4158111	ERR4158111	ERR4158111	ERR4158111	ERR4158111	ERR4158110	ERR4158111	ERR4158111	ERR4158110	ERR4158111	ERR4158111	ERR4158111	ERR4158110	Fang100026	Fang_UCSD_IBD_Biobank
ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	ERR4158112	Fang100027	Fang_UCSD_IBD_Biobank
ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	ERR4158113	Fang100028	Fang_UCSD_IBD_Biobank
ERR4158116	ERR4158116	ERR4158114	ERR4158115	ERR4158116	ERR4158116	ERR4158114	ERR4158117	ERR4158117	ERR4158117	ERR4158116	ERR4158117	ERR4158114	ERR4158114	ERR4158116	ERR4158115	ERR4158116	ERR4158117	ERR4158116	ERR4158117	Fang100029	Fang_UCSD_IBD_Biobank
ERR4158120	ERR4158119	ERR4158119	ERR4158120	ERR4158120	ERR4158120	ERR4158119	ERR4158120	ERR4158120	ERR4158118	ERR4158119	ERR4158118	ERR4158119	ERR4158118	ERR4158119	ERR4158120	ERR4158119	ERR4158120	ERR4158120	ERR4158118	Fang100031	Fang_UCSD_IBD_Biobank
ERR4158121	ERR4158122	ERR4158121	ERR4158121	ERR4158121	ERR4158121	ERR4158122	ERR4158122	ERR4158122	ERR4158121	ERR4158121	ERR4158122	ERR4158121	ERR4158122	ERR4158122	ERR4158122	ERR4158122	ERR4158122	ERR4158121	ERR4158121	Fang100032	Fang_UCSD_IBD_Biobank
ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	ERR4158123	Fang100033	Fang_UCSD_IBD_Biobank
ERR4158126	ERR4158124	ERR4158126	ERR4158125	ERR4158124	ERR4158125	ERR4158126	ERR4158126	ERR4158125	ERR4158124	ERR4158124	ERR4158126	ERR4158125	ERR4158127	ERR4158126	ERR4158127	ERR4158126	ERR4158126	ERR4158127	ERR4158124	Fang100034	Fang_UCSD_IBD_Biobank
ERR4158129	ERR4158131	ERR4158130	ERR4158130	ERR4158128	ERR4158130	ERR4158128	ERR4158130	ERR4158129	ERR4158130	ERR4158130	ERR4158128	ERR4158131	ERR4158128	ERR4158131	ERR4158130	ERR4158129	ERR4158131	ERR4158130	ERR4158131	Fang100038	Fang_UCSD_IBD_Biobank
ERR4158133	ERR4158132	ERR4158134	ERR4158134	ERR4158133	ERR4158133	ERR4158134	ERR4158132	ERR4158132	ERR4158134	ERR4158133	ERR4158133	ERR4158134	ERR4158134	ERR4158133	ERR4158133	ERR4158134	ERR4158132	ERR4158132	ERR4158134	Fang100040	Fang_UCSD_IBD_Biobank
ERR4158135	ERR4158136	ERR4158136	ERR4158136	ERR4158136	ERR4158136	ERR4158135	ERR4158136	ERR4158135	ERR4158135	ERR4158135	ERR4158135	ERR4158135	ERR4158136	ERR4158135	ERR4158136	ERR4158135	ERR4158135	ERR4158135	ERR4158135	Fang100043	Fang_UCSD_IBD_Biobank
ERR4158137	ERR4158137	ERR4158138	ERR4158137	ERR4158138	ERR4158138	ERR4158138	ERR4158137	ERR4158138	ERR4158137	ERR4158137	ERR4158137	ERR4158137	ERR4158137	ERR4158138	ERR4158137	ERR4158137	ERR4158137	ERR4158138	ERR4158137	Fang100045	Fang_UCSD_IBD_Biobank
ERR4158139	ERR4158139	ERR4158140	ERR4158140	ERR4158140	ERR4158140	ERR4158140	ERR4158139	ERR4158141	ERR4158140	ERR4158141	ERR4158141	ERR4158142	ERR4158140	ERR4158139	ERR4158141	ERR4158140	ERR4158140	ERR4158142	ERR4158141	Fang100046	Fang_UCSD_IBD_Biobank
ERR4158144	ERR4158143	ERR4158144	ERR4158143	ERR4158143	ERR4158144	ERR4158144	ERR4158144	ERR4158143	ERR4158143	ERR4158143	ERR4158143	ERR4158144	ERR4158143	ERR4158144	ERR4158143	ERR4158143	ERR4158144	ERR4158143	ERR4158144	Fang100047	Fang_UCSD_IBD_Biobank
ERR4158147	ERR4158148	ERR4158148	ERR4158148	ERR4158145	ERR4158147	ERR4158146	ERR4158145	ERR4158146	ERR4158145	ERR4158147	ERR4158146	ERR4158145	ERR4158147	ERR4158147	ERR4158145	ERR4158145	ERR4158146	ERR4158148	ERR4158146	Fang100051	Fang_UCSD_IBD_Biobank
ERR4158149	ERR4158150	ERR4158150	ERR4158150	ERR4158149	ERR4158149	ERR4158150	ERR4158150	ERR4158150	ERR4158150	ERR4158150	ERR4158150	ERR4158150	ERR4158149	ERR4158150	ERR4158149	ERR4158150	ERR4158150	ERR4158149	ERR4158149	Fang100052	Fang_UCSD_IBD_Biobank
ERR4158153	ERR4158153	ERR4158153	ERR4158152	ERR4158151	ERR4158151	ERR4158152	ERR4158151	ERR4158153	ERR4158152	ERR4158152	ERR4158152	ERR4158152	ERR4158153	ERR4158151	ERR4158152	ERR4158153	ERR4158152	ERR4158153	ERR4158153	Fang100053	Fang_UCSD_IBD_Biobank
ERR4158156	ERR4158154	ERR4158156	ERR4158157	ERR4158155	ERR4158154	ERR4158155	ERR4158156	ERR4158155	ERR4158157	ERR4158155	ERR4158155	ERR4158155	ERR4158155	ERR4158156	ERR4158154	ERR4158155	ERR4158154	ERR4158157	ERR4158157	Fang100054	Fang_UCSD_IBD_Biobank
ERR4158159	ERR4158158	ERR4158159	ERR4158159	ERR4158160	ERR4158158	ERR4158159	ERR4158158	ERR4158160	ERR4158158	ERR4158159	ERR4158160	ERR4158160	ERR4158159	ERR4158158	ERR4158160	ERR4158160	ERR4158160	ERR4158160	ERR4158158	Fang100055	Fang_UCSD_IBD_Biobank
ERR4158163	ERR4158161	ERR4158164	ERR4158161	ERR4158163	ERR4158164	ERR4158161	ERR4158164	ERR4158162	ERR4158162	ERR4158161	ERR4158163	ERR4158164	ERR4158162	ERR4158162	ERR4158161	ERR4158161	ERR4158162	ERR4158163	ERR4158163	Fang100056	Fang_UCSD_IBD_Biobank
ERR4158165	ERR4158165	ERR4158166	ERR4158165	ERR4158165	ERR4158166	ERR4158165	ERR4158165	ERR4158165	ERR4158165	ERR4158165	ERR4158166	ERR4158165	ERR4158165	ERR4158166	ERR4158165	ERR4158166	ERR4158166	ERR4158166	ERR4158165	Fang100057	Fang_UCSD_IBD_Biobank
ERR4158167	ERR4158167	ERR4158169	ERR4158168	ERR4158167	ERR4158169	ERR4158168	ERR4158168	ERR4158168	ERR4158168	ERR4158169	ERR4158167	ERR4158167	ERR4158167	ERR4158167	ERR4158169	ERR4158167	ERR4158169	ERR4158168	ERR4158169	Fang100059	Fang_UCSD_IBD_Biobank
ERR4158170	ERR4158171	ERR4158170	ERR4158171	ERR4158171	ERR4158170	ERR4158170	ERR4158171	ERR4158170	ERR4158171	ERR4158171	ERR4158171	ERR4158171	ERR4158170	ERR4158171	ERR4158170	ERR4158171	ERR4158171	ERR4158171	ERR4158170	Fang100060	Fang_UCSD_IBD_Biobank
ERR4158173	ERR4158176	ERR4158176	ERR4158172	ERR4158172	ERR4158176	ERR4158172	ERR4158174	ERR4158176	ERR4158174	ERR4158175	ERR4158176	ERR4158172	ERR4158174	ERR4158176	ERR4158172	ERR4158176	ERR4158176	ERR4158176	ERR4158175	Fang100064	Fang_UCSD_IBD_Biobank
ERR4158177	ERR4158179	ERR4158177	ERR4158177	ERR4158178	ERR4158177	ERR4158179	ERR4158179	ERR4158178	ERR4158180	ERR4158178	ERR4158180	ERR4158179	ERR4158179	ERR4158178	ERR4158180	ERR4158177	ERR4158179	ERR4158179	ERR4158178	Fang100065	Fang_UCSD_IBD_Biobank
ERR4158183	ERR4158182	ERR4158181	ERR4158185	ERR4158185	ERR4158185	ERR4158183	ERR4158183	ERR4158181	ERR4158185	ERR4158184	ERR4158182	ERR4158185	ERR4158181	ERR4158184	ERR4158184	ERR4158185	ERR4158184	ERR4158182	ERR4158182	Fang100067	Fang_UCSD_IBD_Biobank
ERR4158187	ERR4158189	ERR4158188	ERR4158186	ERR4158189	ERR4158186	ERR4158189	ERR4158188	ERR4158188	ERR4158187	ERR4158189	ERR4158188	ERR4158186	ERR4158189	ERR4158188	ERR4158189	ERR4158187	ERR4158189	ERR4158189	ERR4158188	Fang100068	Fang_UCSD_IBD_Biobank
ERR4158192	ERR4158192	ERR4158192	ERR4158192	ERR4158192	ERR4158191	ERR4158190	ERR4158190	ERR4158191	ERR4158192	ERR4158192	ERR4158191	ERR4158192	ERR4158192	ERR4158191	ERR4158192	ERR4158191	ERR4158192	ERR4158191	ERR4158192	Fang100069	Fang_UCSD_IBD_Biobank
ERR4158193	ERR4158195	ERR4158195	ERR4158193	ERR4158195	ERR4158195	ERR4158195	ERR4158195	ERR4158195	ERR4158194	ERR4158193	ERR4158195	ERR4158195	ERR4158194	ERR4158194	ERR4158193	ERR4158193	ERR4158193	ERR4158195	ERR4158195	Fang100072	Fang_UCSD_IBD_Biobank
ERR4158197	ERR4158196	ERR4158196	ERR4158196	ERR4158197	ERR4158197	ERR4158196	ERR4158196	ERR4158197	ERR4158196	ERR4158197	ERR4158196	ERR4158197	ERR4158196	ERR4158197	ERR4158197	ERR4158196	ERR4158197	ERR4158196	ERR4158197	Fang100073	Fang_UCSD_IBD_Biobank
ERR4158199	ERR4158200	ERR4158200	ERR4158200	ERR4158198	ERR4158200	ERR4158199	ERR4158200	ERR4158199	ERR4158199	ERR4158198	ERR4158200	ERR4158199	ERR4158198	ERR4158200	ERR4158200	ERR4158199	ERR4158198	ERR4158198	ERR4158198	Fang100074	Fang_UCSD_IBD_Biobank
ERR4158201	ERR4158202	ERR4158202	ERR4158201	ERR4158201	ERR4158202	ERR4158202	ERR4158201	ERR4158201	ERR4158202	ERR4158202	ERR4158201	ERR4158202	ERR4158202	ERR4158202	ERR4158202	ERR4158201	ERR4158201	ERR4158201	ERR4158202	Fang100075	Fang_UCSD_IBD_Biobank
ERR4158203	ERR4158204	ERR4158203	ERR4158204	ERR4158204	ERR4158205	ERR4158203	ERR4158204	ERR4158204	ERR4158205	ERR4158204	ERR4158203	ERR4158203	ERR4158205	ERR4158205	ERR4158205	ERR4158203	ERR4158204	ERR4158203	ERR4158204	Fang100076	Fang_UCSD_IBD_Biobank
ERR4158208	ERR4158207	ERR4158208	ERR4158206	ERR4158208	ERR4158208	ERR4158206	ERR4158206	ERR4158206	ERR4158207	ERR4158207	ERR4158207	ERR4158208	ERR4158207	ERR4158208	ERR4158206	ERR4158208	ERR4158207	ERR4158208	ERR4158206	Fang100077	Fang_UCSD_IBD_Biobank
ERR4158209	ERR4158211	ERR4158209	ERR4158212	ERR4158209	ERR4158209	ERR4158210	ERR4158210	ERR4158212	ERR4158210	ERR4158209	ERR4158211	ERR4158212	ERR4158209	ERR4158211	ERR4158210	ERR4158211	ERR4158211	ERR4158210	ERR4158211	Fang100080	Fang_UCSD_IBD_Biobank
ERR4158213	ERR4158215	ERR4158215	ERR4158215	ERR4158215	ERR4158213	ERR4158215	ERR4158214	ERR4158213	ERR4158214	ERR4158213	ERR4158214	ERR4158215	ERR4158214	ERR4158214	ERR4158215	ERR4158213	ERR4158213	ERR4158214	ERR4158214	Fang100081	Fang_UCSD_IBD_Biobank
ERR4158218	ERR4158217	ERR4158220	ERR4158220	ERR4158217	ERR4158218	ERR4158217	ERR4158220	ERR4158216	ERR4158219	ERR4158216	ERR4158218	ERR4158217	ERR4158216	ERR4158216	ERR4158217	ERR4158218	ERR4158217	ERR4158216	ERR4158219	Fang100082	Fang_UCSD_IBD_Biobank
ERR4158223	ERR4158222	ERR4158221	ERR4158221	ERR4158222	ERR4158222	ERR4158221	ERR4158224	ERR4158224	ERR4158224	ERR4158224	ERR4158222	ERR4158221	ERR4158221	ERR4158224	ERR4158221	ERR4158223	ERR4158221	ERR4158221	ERR4158222	Fang100083	Fang_UCSD_IBD_Biobank
ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	ERR4158225	Fang100084	Fang_UCSD_IBD_Biobank
ERR4158227	ERR4158227	ERR4158227	ERR4158227	ERR4158226	ERR4158226	ERR4158226	ERR4158227	ERR4158226	ERR4158226	ERR4158226	ERR4158227	ERR4158227	ERR4158227	ERR4158226	ERR4158226	ERR4158226	ERR4158227	ERR4158226	ERR4158226	Fang100085	Fang_UCSD_IBD_Biobank
